FID_,FID_IraqDe,Category,Coalition_,Coalition1,Iraq_force,Iraq_for_1,Civilian_w,Civilian_k,Enemy_wia,Enemy_kia,Enemy_deta,Total_deat,Latitude,Longitude,urban_id,urban,Date_,Am_YES,Am_NO,Am_NA
,21491,IED Explosion,0,0,0,0,2,1,0,0,0,1,33.84584,45.285362,-1,0,11/15/09,,,
,21490,IED Explosion,0,0,0,0,3,1,0,0,0,1,36.297974,43.201393,20,1,11/15/09,,,
,21488,IED Explosion,0,0,1,1,0,0,0,0,0,1,33.479382,43.978573,-1,0,11/14/09,,,
,21486,IED Explosion,0,0,0,1,0,1,0,0,0,2,32.535717,44.569767,-1,0,11/13/09,,,
,21487,IED Explosion,0,0,0,1,2,0,0,0,1,1,32.859459,44.339493,-1,0,11/13/09,,,
,11660,Direct Fire,0,0,0,0,1,2,0,0,1,2,33.591187,44.602322,-1,0,11/12/09,,,
,11659,Direct Fire,0,0,1,1,0,0,0,0,0,1,36.371372,43.167381,20,1,11/12/09,,,
,11658,Direct Fire,0,0,0,0,0,2,0,0,0,2,32.9673,44.18317,-1,0,11/11/09,,,
,21485,IED Pre-detonation,0,0,0,0,0,0,0,1,0,1,33.730118,44.612476,11,1,11/10/09,,,
,11657,Direct Fire,0,0,0,0,0,0,0,1,0,1,34.079002,44.033813,-1,0,11/10/09,,,
,21482,IED Explosion,0,0,0,0,0,3,0,0,0,3,31.955,44.409538,6,1,11/9/09,,,
,21483,Mine Strike,0,0,0,0,0,1,0,0,0,1,34.368542,41.142353,-1,0,11/9/09,,,
,21484,IED Explosion,0,0,0,0,1,1,0,0,0,1,35.915916,43.312962,-1,0,11/9/09,,,
,11656,Direct Fire,0,0,0,1,0,0,0,0,0,1,36.360008,43.07515,20,1,11/8/09,,,
,21481,IED Pre-detonation,0,0,0,0,1,0,1,2,0,2,36.384941,43.221756,20,1,11/8/09,,,
,21480,Unexploded Ordnance,0,0,0,0,0,3,0,0,0,3,33.85994,44.220543,-1,0,11/7/09,,,
,11655,Direct Fire,0,0,0,1,0,0,0,0,0,1,36.342075,43.137985,20,1,11/7/09,,,
,21479,IED Explosion,0,0,0,1,0,0,0,0,0,1,36.33374,43.123703,20,1,11/6/09,,,
,21478,IED Explosion,0,0,1,0,9,1,0,0,0,1,33.425041,43.302876,10,1,11/5/09,,,
,21477,IED Explosion,0,0,0,1,0,0,0,0,0,1,33.482468,44.242508,9,1,11/5/09,,,
,21476,IED Explosion,0,0,2,1,0,0,0,0,0,1,36.323982,43.068184,20,1,11/5/09,,,
,21474,IED Explosion,0,0,0,1,0,1,0,0,0,2,33.289803,44.053387,9,1,11/4/09,,,
,11654,Direct Fire,0,1,0,0,0,0,0,0,0,1,34.452503,43.794224,14,1,11/4/09,,,
,21475,IED Explosion,0,0,0,0,0,1,0,0,0,1,36.417328,43.166302,20,1,11/4/09,,,
,11653,Direct Fire,0,0,0,1,0,0,0,0,0,1,33.306484,44.133125,9,1,11/3/09,,,
,21473,IED Explosion,0,0,0,2,0,0,0,0,0,2,33.396336,43.683861,10,1,11/3/09,,,
,21472,IED Explosion,0,0,0,0,1,1,0,0,0,1,36.484722,42.423584,-1,0,11/2/09,,,
,21470,IED Explosion,0,0,0,0,12,1,0,0,0,1,32.599667,44.027157,7,1,11/1/09,,,
,21468,IED Explosion,0,0,1,0,46,4,0,0,0,4,32.777985,44.286705,-1,0,11/1/09,,,
,21469,IED Explosion,0,0,0,1,4,2,0,0,0,3,33.420647,43.250694,10,1,11/1/09,,,
,21471,IED Found/Cleared,0,0,0,0,0,0,0,2,0,2,36.357456,43.073429,20,1,11/1/09,,,
,21467,IED Explosion,0,0,0,0,0,1,0,0,0,1,33.258339,44.359482,9,1,10/30/09,,,
,21463,Unexploded Ordnance,0,0,0,0,2,2,0,0,0,2,31.46936,47.279312,-1,0,10/29/09,,,
,21466,IED Explosion,0,0,0,0,0,1,0,1,0,2,33.748787,44.630455,11,1,10/29/09,,,
,11652,Direct Fire,0,0,1,3,0,0,0,0,0,3,36.332397,43.095882,20,1,10/29/09,,,
,21465,IED Pre-detonation,0,0,0,0,0,0,0,1,0,1,36.387127,42.45356,18,1,10/29/09,,,
,21464,IED Pre-detonation,0,0,0,0,0,0,0,1,0,1,36.405697,43.568027,-1,0,10/29/09,,,
,21462,IED Explosion,0,0,1,0,10,3,0,0,0,3,36.349747,43.167889,20,1,10/28/09,,,
,21461,IED Explosion,0,0,0,0,0,1,0,0,0,1,34.844364,43.507019,-1,0,10/27/09,,,
,21460,IED Explosion,0,0,0,0,5,3,0,0,0,3,32.714306,44.197586,-1,0,10/26/09,,,
,21458,IED Explosion,4,0,0,0,641,93,0,0,0,93,33.329891,44.391525,9,1,10/25/09,,,
,21457,IED Explosion,0,0,0,0,0,1,0,0,0,1,33.629456,44.609875,-1,0,10/25/09,,,
,21459,IED Explosion,0,0,0,0,0,1,0,0,0,1,33.632233,44.482449,-1,0,10/25/09,,,
,21456,IED Explosion,0,0,0,0,2,2,0,1,0,3,34.583294,43.680901,14,1,10/24/09,,,
,11651,Sniper Ops,0,0,0,1,0,0,0,0,0,1,36.357342,43.077446,20,1,10/24/09,,,
,11650,Direct Fire,0,0,0,1,0,0,0,1,0,2,36.362854,43.083996,20,1,10/24/09,,,
,21455,IED Pre-detonation,0,0,0,0,0,0,0,1,1,1,34.606457,43.674873,14,1,10/23/09,,,
,21453,IED Explosion,0,0,6,1,0,0,0,0,0,1,35.658356,41.734024,-1,0,10/23/09,,,
,21454,IED Explosion,0,0,3,1,0,0,0,0,0,1,36.631931,42.275562,-1,0,10/23/09,,,
,11649,Direct Fire,0,0,1,1,0,0,0,0,0,1,36.32494,43.080467,20,1,10/22/09,,,
,21452,IED Explosion,0,0,0,1,0,0,0,0,0,1,36.333668,43.119247,20,1,10/22/09,,,
,21450,IED Explosion,0,0,0,0,6,2,0,0,0,2,32.605305,44.41798,-1,0,10/21/09,,,
,21451,IED Explosion,0,0,0,0,0,4,0,0,0,4,33.072254,44.216206,-1,0,10/21/09,,,
,21449,IED Explosion,0,0,0,0,1,1,0,0,0,1,35.430706,44.354424,15,1,10/21/09,,,
,21446,IED Explosion,0,0,2,1,0,0,0,0,0,1,32.78603,44.275524,-1,0,10/20/09,,,
,21448,IED Explosion,0,0,0,3,5,0,0,0,0,3,33.400517,43.695354,10,1,10/20/09,,,
,21447,IED Explosion,0,0,0,0,1,1,0,0,0,1,33.469933,44.25032,9,1,10/20/09,,,
,11648,Sniper Ops,0,0,0,1,0,0,0,0,0,1,33.635475,44.237667,-1,0,10/20/09,,,
,21444,IED Explosion,0,0,0,0,2,1,0,0,0,1,33.403599,44.385517,9,1,10/19/09,,,
,21445,IED Explosion,2,1,0,0,0,0,0,0,0,1,36.078419,43.318336,-1,0,10/19/09,,,
,21443,IED Explosion,0,0,0,0,1,1,0,0,0,1,33.282673,44.393272,9,1,10/18/09,,,
,21442,IED Explosion,0,0,0,0,3,2,0,0,0,2,33.446205,44.127735,-1,0,10/18/09,,,
,11645,Direct Fire,0,0,0,0,1,1,0,0,0,1,33.244057,44.407463,9,1,10/17/09,,,
,21440,IED Explosion,0,0,14,4,0,0,0,0,0,4,33.393017,43.792179,10,1,10/17/09,,,
,21441,IED Explosion,0,0,1,1,2,0,0,0,0,1,36.326633,43.073742,20,1,10/17/09,,,
,11647,Direct Fire,0,0,0,1,0,0,0,0,0,1,36.341301,43.088982,20,1,10/17/09,,,
,11646,Direct Fire,0,0,0,1,4,1,0,0,0,2,36.344742,43.135693,20,1,10/17/09,,,
,11644,Direct Fire,0,0,0,0,1,1,0,0,0,1,33.154083,44.521038,-1,0,10/16/09,,,
,11643,Assassination,0,0,0,0,0,1,0,0,0,1,33.902653,45.289875,-1,0,10/16/09,,,
,21438,IED Explosion,0,0,0,0,74,17,0,1,4,18,36.384201,42.472828,18,1,10/16/09,,,
,21439,IED Explosion,0,0,0,1,0,0,0,1,0,2,36.399631,42.980068,20,1,10/16/09,,,
,21437,IED Explosion,0,0,2,1,0,0,0,0,0,1,33.292622,43.684345,-1,0,10/15/09,,,
,21433,IED Explosion,0,0,0,0,2,1,0,0,0,1,33.384605,44.375332,9,1,10/15/09,,,
,11642,Direct Fire,0,0,0,0,0,1,0,0,0,1,33.406773,44.489166,9,1,10/15/09,,,
,21436,IED Explosion,0,0,0,1,0,0,0,0,0,1,33.69553,45.070137,-1,0,10/15/09,,,
,21434,IED Explosion,0,0,2,1,0,0,0,0,0,1,36.326488,43.064835,20,1,10/15/09,,,
,21432,IED Explosion,0,0,0,0,0,1,0,0,0,1,36.331047,43.136131,20,1,10/15/09,,,
,21435,IED Explosion,0,0,4,1,0,0,0,0,0,1,36.344597,43.184723,20,1,10/15/09,,,
,21429,IED Explosion,0,0,0,0,10,1,0,0,0,1,32.614792,44.029007,7,1,10/14/09,,,
,21430,IED Explosion,0,0,0,0,12,1,0,0,0,1,32.618473,44.038559,7,1,10/14/09,,,
,21431,IED Explosion,0,0,0,1,0,0,0,0,0,1,34.894447,44.631165,-1,0,10/14/09,,,
,11641,Direct Fire,0,0,0,2,0,0,0,0,0,2,36.368908,43.183044,20,1,10/14/09,,,
,21428,IED Explosion,0,0,0,0,7,5,0,1,0,6,33.713093,44.650326,11,1,10/13/09,,,
,21427,IED Explosion,0,0,4,2,0,0,0,0,2,2,35.108566,44.167141,-1,0,10/13/09,,,
,21426,IED Explosion,0,0,0,0,2,1,0,0,0,1,33.669281,44.698826,-1,0,10/12/09,,,
,21425,IED Pre-detonation,0,0,0,0,0,0,0,1,2,1,33.99678,44.956688,11,1,10/12/09,,,
,21424,IED Explosion,0,0,0,0,19,4,0,2,1,6,33.42572,43.295269,10,1,10/11/09,,,
,21423,IED Explosion,0,0,9,1,0,0,0,0,0,1,34.585766,43.679562,14,1,10/11/09,,,
,21422,IED Explosion,0,0,0,0,2,1,0,0,0,1,33.397167,43.677395,10,1,10/9/09,,,
,11640,Direct Fire,0,0,0,0,1,1,0,0,0,1,36.360851,43.186577,20,1,10/9/09,,,
,21421,IED Explosion,0,0,1,1,4,1,0,0,0,2,33.063324,44.23214,9,1,10/8/09,,,
,11639,Assassination,0,0,0,0,0,1,0,0,0,1,33.228134,44.475601,9,1,10/8/09,,,
,21420,IED Explosion,0,0,0,0,0,1,0,0,0,1,36.263351,42.705776,-1,0,10/8/09,,,
,21417,IED Explosion,0,0,0,0,2,1,0,0,0,1,33.309349,44.032124,9,1,10/7/09,,,
,21418,IED Explosion,0,0,3,3,0,0,0,0,0,3,34.195087,45.168228,-1,0,10/7/09,,,
,21419,IED Explosion,0,0,0,0,3,1,0,0,0,1,36.489655,43.122181,20,1,10/7/09,,,
,21416,IED Explosion,0,0,0,0,17,7,0,0,0,7,33.164539,43.866421,-1,0,10/6/09,,,
,11638,Direct Fire,0,0,0,1,1,0,0,0,0,1,33.318298,44.469273,9,1,10/6/09,,,
,21413,IED Explosion,0,0,0,0,0,1,0,0,0,1,33.307598,44.201195,9,1,10/5/09,,,
,21412,IED Explosion,0,0,3,0,0,1,0,0,0,1,33.355854,43.782269,10,1,10/5/09,,,
,21415,IED Explosion,0,0,0,0,11,5,0,1,0,6,34.138348,42.378803,-1,0,10/5/09,,,
,21414,IED Explosion,0,0,25,1,0,0,0,1,0,2,36.692215,41.973194,-1,0,10/5/09,,,
,21409,IED Explosion,0,0,0,0,0,1,0,0,0,1,31.145191,46.281933,-1,0,10/4/09,,,
,11636,Direct Fire,0,0,0,0,1,0,0,1,0,1,33.30946,44.513367,9,1,10/4/09,,,
,21411,IED Explosion,0,0,1,1,0,0,0,0,0,1,33.326954,44.490494,9,1,10/4/09,,,
,11637,Sniper Ops,0,0,0,1,0,0,0,0,0,1,33.381046,44.385033,9,1,10/4/09,,,
,21410,Other,0,0,0,0,0,1,0,0,0,1,36.350063,43.129997,20,1,10/4/09,,,
,21408,IED Pre-detonation,0,0,0,0,0,0,0,1,0,1,33.42622,43.298733,10,1,10/3/09,,,
,21407,IED Explosion,0,0,0,0,0,1,0,0,0,1,36.074852,42.79565,-1,0,10/3/09,,,
,21406,IED Explosion,0,0,0,1,4,0,0,0,8,1,36.020882,43.363647,-1,0,10/2/09,,,
,11635,Indirect Fire,3,1,0,0,0,0,0,0,0,1,33.301807,44.242428,9,1,10/1/09,,,
,21405,IED Explosion,0,0,0,0,1,1,0,0,0,1,36.404446,43.091896,20,1,10/1/09,,,
,11634,Direct Fire,0,0,0,3,0,0,0,0,0,3,33.127285,44.360329,9,1,9/30/09,,,
,21403,IED Explosion,0,0,0,0,1,1,0,0,0,1,33.756435,44.668507,11,1,9/30/09,,,
,21404,IED Found/Cleared,0,0,0,0,0,0,0,1,1,1,36.343067,43.092281,20,1,9/30/09,,,
,11633,Direct Fire,0,0,0,0,4,1,0,0,0,1,33.234989,44.397861,9,1,9/29/09,,,
,21402,IED Explosion,0,0,0,0,2,1,0,0,2,1,33.235722,44.397846,9,1,9/29/09,,,
,21401,IED Explosion,0,0,0,0,0,0,0,1,0,1,33.289646,44.326607,9,1,9/29/09,,,
,11632,Direct Fire,0,0,0,1,0,0,0,0,0,1,36.368118,43.131794,20,1,9/29/09,,,
,21400,IED Explosion,0,0,0,0,0,1,0,0,0,1,36.407146,43.091827,20,1,9/29/09,,,
,21395,IED Explosion,0,0,0,0,3,3,0,0,0,3,32.010136,44.932259,5,1,9/28/09,,,
,21394,IED Explosion,0,0,0,0,2,3,0,0,0,3,32.024796,44.81044,-1,0,9/28/09,,,
,21398,IED EXPLOSION,0,0,23,3,0,0,0,0,0,3,33.332817,44.263779,9,1,9/28/09,,,
,21396,IED Explosion,0,0,12,7,0,0,0,1,0,8,33.403301,43.008419,-1,0,9/28/09,,,
,21393,IED Explosion,0,0,0,0,0,2,0,0,9,2,33.811756,45.319897,-1,0,9/28/09,,,
,11631,Attack,0,0,3,2,2,0,0,0,0,2,36.350651,43.16787,20,1,9/28/09,,,
,21399,IED Pre-detonation,0,0,0,0,0,0,1,2,0,2,36.389988,42.503632,18,1,9/28/09,,,
,21397,IED Explosion,0,0,0,0,0,1,0,0,0,1,36.395462,43.151207,20,1,9/28/09,,,
,21391,IED Explosion,0,0,5,3,0,0,0,1,0,4,33.45409,43.39595,10,1,9/27/09,,,
,21392,IED Explosion,0,0,0,0,4,1,0,0,0,1,36.365589,43.030434,20,1,9/27/09,,,
,11630,Direct Fire,0,0,0,1,0,0,0,0,0,1,36.340271,43.138027,20,1,9/26/09,,,
,21389,IED Pre-detonation,0,0,0,0,0,0,0,1,0,1,33.282959,44.12262,9,1,9/25/09,,,
,21390,IED Pre-detonation,0,0,0,0,0,1,0,1,0,2,33.307373,44.271687,9,1,9/25/09,,,
,11628,Direct Fire,0,0,0,2,0,0,0,0,0,2,36.340202,43.133575,20,1,9/24/09,,,
,11629,Direct Fire,0,0,1,1,0,0,0,0,0,1,36.358616,43.100815,20,1,9/24/09,,,
,21384,IED Explosion,0,0,0,0,1,4,0,0,0,4,33.205879,43.955551,-1,0,9/23/09,,,
,21385,IED Explosion,0,0,2,1,0,0,0,0,0,1,33.30793,44.108952,9,1,9/23/09,,,
,21386,IED Explosion,0,0,0,0,1,1,0,0,0,1,33.316914,44.209297,9,1,9/23/09,,,
,21387,IED Explosion,0,0,1,3,0,0,0,0,0,3,36.277134,42.858448,-1,0,9/23/09,,,
,21388,IED Explosion,0,0,1,1,0,0,0,0,0,1,36.326633,43.073742,20,1,9/23/09,,,
,21383,IED Explosion,0,0,0,0,4,1,0,0,0,1,32.916233,44.329449,-1,0,9/20/09,,,
,11627,Direct Fire,0,0,0,0,0,3,0,0,0,3,33.081764,44.252121,9,1,9/19/09,,,
,21381,IED Explosion,0,0,2,0,5,1,0,0,0,1,36.329395,43.097538,20,1,9/19/09,,,
,21382,IED Found/Cleared,0,0,1,1,0,0,0,0,0,1,36.349506,43.211353,20,1,9/19/09,,,
,21380,IED Explosion,0,0,0,0,15,7,0,0,0,7,33.062542,44.367931,9,1,9/18/09,,,
,21379,IED Explosion,0,0,2,1,0,0,0,0,0,1,33.91135,45.18964,-1,0,9/18/09,,,
,21377,IED Pre-detonation,0,0,0,0,0,0,0,2,1,2,33.301132,44.141769,9,1,9/17/09,,,
,11626,Direct Fire,0,0,0,0,0,0,0,1,0,1,34.18071,45.123711,-1,0,9/17/09,,,
,21376,IED Explosion,0,0,0,0,0,0,0,1,1,1,35.347103,43.770512,-1,0,9/17/09,,,
,21378,IED Explosion,0,0,2,2,0,1,0,1,0,4,36.367233,42.26918,-1,0,9/17/09,,,
,21373,IED Explosion,0,0,0,1,0,0,0,0,0,1,33.084366,44.099953,-1,0,9/16/09,,,
,21374,IED Explosion,0,0,0,0,10,3,0,0,0,3,33.726948,44.485119,-1,0,9/16/09,,,
,21375,IED Explosion,0,0,1,2,0,0,0,0,0,2,34.879974,44.61591,-1,0,9/16/09,,,
,21372,IED Explosion,0,0,0,1,0,0,0,0,0,1,32.778961,44.299511,-1,0,9/15/09,,,
,11625,Indirect Fire,0,0,3,0,0,2,0,0,0,2,33.300938,44.391579,9,1,9/15/09,,,
,11624,Direct Fire,0,0,0,0,1,1,0,2,0,3,33.306702,44.039669,9,1,9/15/09,,,
,21371,IED Explosion,0,0,1,1,0,0,0,0,0,1,33.502476,44.235592,9,1,9/15/09,,,
,21368,IED Explosion,0,0,0,1,0,0,0,0,0,1,33.315994,44.432037,9,1,9/14/09,,,
,21370,IED Explosion,0,0,0,0,1,1,0,0,0,1,33.527443,44.707386,-1,0,9/14/09,,,
,21367,IED Explosion,0,0,0,0,1,1,0,0,0,1,33.602184,44.660473,-1,0,9/14/09,,,
,21369,IED Explosion,0,0,8,1,0,0,0,0,0,1,36.340065,43.124664,20,1,9/14/09,,,
,11623,Direct Fire,0,0,0,1,0,0,0,0,2,1,36.388493,43.166981,20,1,9/14/09,,,
,11622,Attack,0,0,0,0,0,0,0,3,0,3,32.817188,44.234798,-1,0,9/13/09,,,
,21366,IED Explosion,0,0,0,0,3,1,0,0,0,1,32.887421,44.339287,-1,0,9/13/09,,,
